Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
variable;10129;Macacão Casual;-1;Macacão longo de manga 3/4 com elástico no punho da manga e da barra, fechamento lateral com zíper invisível, bolso e vista falso no busto.;1;;;0;0;669;32;21;12;0;459,99;Macacão, Macacão > Macacão Longo;;Cor;MARROM, PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano;1;0
variable;10126;Top Casual;-1;Top curto de alcinha larga, busto com recorte, fechamento traseiro com ziper de nylon destacável .;1;;;0;0;266;32;21;12;0;269,99;Top > Top de alcinha;;Cor;PRETO, VERDE, LILAS;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano;1;0
variable;10137;Vestido Amanda;-1;Vestido mid com decote ombro a ombro com babado e elástico. Saia com corte  assimétrico na barra e  com forro. Fechamento trazeiro com zíper invisível.;1;;;0;0;611;32;21;12;0;489,99;Vestido > Vestido mid;;Cor;AZUL TURQUESA, ROSA;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 98% Algodão 02% Elastano ;1;0
variable;10136;Vestido Clara;-1;Vestido mid de alcinha com recortes e franzidos na saia e com forro. Regulador de metal dourado e fechamento trazeiro com zíper invisível.;1;;;0;0;461;32;21;12;0;459,99;Vestido > Vestido mid;;Cor;AZUL TURQUESA, ROSA;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 98% Algodão 02% Elastano ;1;0
variable;10113;Vestido Fiorela;-1;Vestido blazer curto de manga longa com fechamento frontal com botões encapado, peça toda entretelada e forrada em cetim.;1;;;0;0;1.128;32;21;12;0;799,99;Vestido > Vestido Curto;;Cor;ROSA, PRETO;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 96% Poliéster 4% Elastano          Forro: 96% Poliéster 4% Elastano;1;0
variable;10133;Vestido Mirian;-1;Vestido chemise longo de manga curta com recortes e leve franzido na saia. Fechamento frontal em botões com bolsos e lapela no busto.;1;;;0;0;715;32;21;12;0;489,99;Vestido > Vestido longo;;Cor;ROSA, LARANJA;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 98% Algodão 02% Elastano ;1;0
variable;10134;Vestido Sofia;-1;Vestido mid de alcinha com recortes no busto e recortes na saia, fechamento trazeiro com zíper invisível.;1;;;0;0;574;32;21;12;0;489,99;Vestido > Vestido mid;;Cor;ROSA, LARANJA;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 98% Algodão 02% Elastano ;1;0
variable;4114;Maxi T-Shirt;-1;T-shirt com gola V e com abertura na lateral ;1;;;0;0;261;32;21;12;0;169,99;Blusa > Blusa manga curta;;Cor;PRETO, BRANCO, ROSA CHICLETE;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 96% Viscose 4%Elastano;1;0
