ID;Produto ascendente;Tipo;SKU;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
5602;10140;variation;10140-P-GG;-1;;1;1;;0;0;;;;;0;359,99;;Cor;PRETO;;1;Tamanho;GG;;1;;;;
5600;10140;variation;10140-P-M;-1;;1;1;;0;0;;;;;0;359,99;;Cor;PRETO;;1;Tamanho;M;;1;;;;
5599;10140;variation;10140-P-P;-1;;1;1;;0;0;;;;;0;359,99;;Cor;PRETO;;1;Tamanho;P;;1;;;;
5598;10140;variation;10140-P-PP;-1;;1;1;;0;0;;;;;0;359,99;;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5606;10140;variation;10140-V-G;-1;;1;1;;0;0;;;;;0;359,99;;Cor;VERDE;;1;Tamanho;G;;1;;;;
5607;10140;variation;10140-V-GG;-1;;1;1;;0;0;;;;;0;359,99;;Cor;VERDE;;1;Tamanho;GG;;1;;;;
5605;10140;variation;10140-V-M;-1;;1;1;;0;0;;;;;0;359,99;;Cor;VERDE;;1;Tamanho;M;;1;;;;
5604;10140;variation;10140-V-P;-1;;1;1;;0;0;;;;;0;359,99;;Cor;VERDE;;1;Tamanho;P;;1;;;;
5603;10140;variation;10140-V-PP;-1;;1;1;;0;0;;;;;0;359,99;;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5283;10138;variation;10138-L-G;-1;;1;1;;0;0;;;;;0;419,99;;Cor;LARANJA;;1;Tamanho;G;;1;;;;
5284;10138;variation;10138-L-GG;-1;;1;1;;0;0;;;;;0;419,99;;Cor;LARANJA;;1;Tamanho;GG;;1;;;;
5282;10138;variation;10138-L-M;-1;;1;1;;0;0;;;;;0;419,99;;Cor;LARANJA;;1;Tamanho;M;;1;;;;
5281;10138;variation;10138-L-P;-1;;1;1;;0;0;;;;;0;419,99;;Cor;LARANJA;;1;Tamanho;P;;1;;;;
5280;10138;variation;10138-L-PP;-1;;1;1;;0;0;;;;;0;419,99;;Cor;LARANJA;;1;Tamanho;PP;;1;;;;
5288;10138;variation;10138-R-G;-1;;1;1;;0;0;;;;;0;419,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5289;10138;variation;10138-R-GG;-1;;1;1;;0;0;;;;;0;419,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5287;10138;variation;10138-R-M;-1;;1;1;;0;0;;;;;0;419,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5286;10138;variation;10138-R-P;-1;;1;1;;0;0;;;;;0;419,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5285;10138;variation;10138-R-PP;-1;;1;1;;0;0;;;;;0;419,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5314;10142;variation;10142-P-G;-1;;1;1;;0;0;;;;;0;459,99;;Cor;PRETO;;1;Tamanho;G;;1;;;;
5315;10142;variation;10142-P-GG;-1;;1;1;;0;0;;;;;0;459,99;;Cor;PRETO;;1;Tamanho;GG;;1;;;;
5313;10142;variation;10142-P-M;-1;;1;1;;0;0;;;;;0;459,99;;Cor;PRETO;;1;Tamanho;M;;1;;;;
5312;10142;variation;10142-P-P;-1;;1;1;;0;0;;;;;0;459,99;;Cor;PRETO;;1;Tamanho;P;;1;;;;
5311;10142;variation;10142-P-PP;-1;;1;1;;0;0;;;;;0;459,99;;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5319;10142;variation;10142-R-G;-1;;1;1;;0;0;;;;;0;459,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5320;10142;variation;10142-R-GG;-1;;1;1;;0;0;;;;;0;459,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5318;10142;variation;10142-R-M;-1;;1;1;;0;0;;;;;0;459,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5317;10142;variation;10142-R-P;-1;;1;1;;0;0;;;;;0;459,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5316;10142;variation;10142-R-PP;-1;;1;1;;0;0;;;;;0;459,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5335;0115;variation;0115-L-G;-1;;1;1;;0;0;;;;;0;169,99;;Cor;LARANJA;;1;Tamanho;G;;1;;;;
5336;0115;variation;0115-L-GG;-1;;1;1;;0;0;;;;;0;169,99;;Cor;LARANJA;;1;Tamanho;GG;;1;;;;
5334;0115;variation;0115-L-M;-1;;1;1;;0;0;;;;;0;169,99;;Cor;LARANJA;;1;Tamanho;M;;1;;;;
5333;0115;variation;0115-L-P;-1;;1;1;;0;0;;;;;0;169,99;;Cor;LARANJA;;1;Tamanho;P;;1;;;;
5332;0115;variation;0115-L-PP;-1;;1;1;;0;0;;;;;0;169,99;;Cor;LARANJA;;1;Tamanho;PP;;1;;;;
5340;0115;variation;0115-R-G;-1;;1;1;;0;0;;;;;0;169,99;;Cor;ROSA;;1;Tamanho;G;;1;;;;
5341;0115;variation;0115-R-GG;-1;;1;1;;0;0;;;;;0;169,99;;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5339;0115;variation;0115-R-M;-1;;1;1;;0;0;;;;;0;169,99;;Cor;ROSA;;1;Tamanho;M;;1;;;;
5338;0115;variation;0115-R-P;-1;;1;1;;0;0;;;;;0;169,99;;Cor;ROSA;;1;Tamanho;P;;1;;;;
5337;0115;variation;0115-R-PP;-1;;1;1;;0;0;;;;;0;169,99;;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5228;10130;variation;10130-AT-G;-1;;1;1;;0;0;;;;;0;489,99;;Cor;AZUL TURQUESA;;1;Tamanho;G;;1;;;;
5229;10130;variation;10130-AT-GG;-1;;1;1;;0;0;;;;;0;489,99;;Cor;AZUL TURQUESA;;1;Tamanho;GG;;1;;;;
5227;10130;variation;10130-AT-M;-1;;1;1;;0;0;;;;;0;489,99;;Cor;AZUL TURQUESA;;1;Tamanho;M;;1;;;;
5226;10130;variation;10130-AT-P;-1;;1;1;;0;0;;;;;0;489,99;;Cor;AZUL TURQUESA;;1;Tamanho;P;;1;;;;
