id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
4120-RO-P_13449,"Top Ana Luisa","Cor: ROSA, Tamanho: P",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_03_1000x1503.jpg,https://paolagiacomelli.com.br/produto/top-ana-luisa/?attribute_pa_cor=rosa&attribute_pa_tamanho=p,"Top","Paola Giacomelli",259.99BRL,in stock,4120_13162,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/TopAnaLuisa_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,181.99BRL,new,published,,,,,,,"cor:BEGE/ROSA/OFF:ROSA,tamanho:PP/G/GG/P/M:P"
10165-AB-G_13436,"Saia Roberta","Estampa: AZUL/BEGE, Tamanho: G",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-roberta/?attribute_pa_estampa=azul-bege&attribute_pa_tamanho=g,"Saia Midi","Paola Giacomelli",399.99BRL,in stock,10165_13161,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-13T23:59+00:00,279.99BRL,new,published,,,,,,,"estampa:AZUL/BEGE:AZUL/BEGE,tamanho:PP/P/M/G/GG:G"
10165-AB-M_13435,"Saia Roberta","Estampa: AZUL/BEGE, Tamanho: M",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-roberta/?attribute_pa_estampa=azul-bege&attribute_pa_tamanho=m,"Saia Midi","Paola Giacomelli",399.99BRL,in stock,10165_13161,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-13T23:59+00:00,279.99BRL,new,published,,,,,,,"estampa:AZUL/BEGE:AZUL/BEGE,tamanho:PP/P/M/G/GG:M"
10165-AB-P_13434,"Saia Roberta","Estampa: AZUL/BEGE, Tamanho: P",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-roberta/?attribute_pa_estampa=azul-bege&attribute_pa_tamanho=p,"Saia Midi","Paola Giacomelli",399.99BRL,in stock,10165_13161,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,279.99BRL,new,published,,,,,,,"estampa:AZUL/BEGE:AZUL/BEGE,tamanho:PP/P/M/G/GG:P"
10165-AB-PP_13433,"Saia Roberta","Estampa: AZUL/BEGE, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-roberta/?attribute_pa_estampa=azul-bege&attribute_pa_tamanho=pp,"Saia Midi","Paola Giacomelli",399.99BRL,in stock,10165_13161,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaRoberta_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,279.99BRL,new,published,,,,,,,"estampa:AZUL/BEGE:AZUL/BEGE,tamanho:PP/P/M/G/GG:PP"
10164-LA-P_13419,"Saia Lis","Cor: LARANJA, Tamanho: P",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_05_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lis/?attribute_pa_cor=laranja&attribute_pa_tamanho=p,"Saia Longa","Paola Giacomelli",549.99BRL,in stock,10164_13159,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,384.99BRL,new,published,,,,,,,"cor:ROXO/LARANJA/ROSA/OFF:LARANJA,tamanho:M/G/GG/P/PP:P"
10164-LA-PP_13418,"Saia Lis","Cor: LARANJA, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_05_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lis/?attribute_pa_cor=laranja&attribute_pa_tamanho=pp,"Saia Longa","Paola Giacomelli",549.99BRL,in stock,10164_13159,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,384.99BRL,new,published,,,,,,,"cor:ROXO/LARANJA/ROSA/OFF:LARANJA,tamanho:M/G/GG/P/PP:PP"
10164-RO-PP_13413,"Saia Lis","Cor: ROXO, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lis/?attribute_pa_cor=roxo&attribute_pa_tamanho=pp,"Saia Longa","Paola Giacomelli",549.99BRL,in stock,10164_13159,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLis_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,384.99BRL,new,published,,,,,,,"cor:ROXO/LARANJA/ROSA/OFF:ROXO,tamanho:M/G/GG/P/PP:PP"
10162-AZ-M_13410,"Saia Lala","Cor: AZUL, Tamanho: M",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_01_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lala/?attribute_pa_cor=azul&attribute_pa_tamanho=m,"Saia Midi","Paola Giacomelli",419.99BRL,in stock,10162_13158,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,293.99BRL,new,published,,,,,,,"cor:BEGE/AZUL:AZUL,tamanho:PP/P/M/G/GG:M"
10162-AZ-P_13409,"Saia Lala","Cor: AZUL, Tamanho: P",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_01_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lala/?attribute_pa_cor=azul&attribute_pa_tamanho=p,"Saia Midi","Paola Giacomelli",419.99BRL,in stock,10162_13158,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,293.99BRL,new,published,,,,,,,"cor:BEGE/AZUL:AZUL,tamanho:PP/P/M/G/GG:P"
10162-AZ-PP_13408,"Saia Lala","Cor: AZUL, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_01_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lala/?attribute_pa_cor=azul&attribute_pa_tamanho=pp,"Saia Midi","Paola Giacomelli",419.99BRL,in stock,10162_13158,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-13T23:59+00:00,293.99BRL,new,published,,,,,,,"cor:BEGE/AZUL:AZUL,tamanho:PP/P/M/G/GG:PP"
10162-BE-M_13405,"Saia Lala","Cor: BEGE, Tamanho: M",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lala/?attribute_pa_cor=bege&attribute_pa_tamanho=m,"Saia Midi","Paola Giacomelli",419.99BRL,in stock,10162_13158,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,293.99BRL,new,published,,,,,,,"cor:BEGE/AZUL:BEGE,tamanho:PP/P/M/G/GG:M"
10162-BE-P_13404,"Saia Lala","Cor: BEGE, Tamanho: P",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lala/?attribute_pa_cor=bege&attribute_pa_tamanho=p,"Saia Midi","Paola Giacomelli",419.99BRL,in stock,10162_13158,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,293.99BRL,new,published,,,,,,,"cor:BEGE/AZUL:BEGE,tamanho:PP/P/M/G/GG:P"
10162-BE-PP_13403,"Saia Lala","Cor: BEGE, Tamanho: PP",https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/produto/saia-lala/?attribute_pa_cor=bege&attribute_pa_tamanho=pp,"Saia Midi","Paola Giacomelli",419.99BRL,in stock,10162_13158,,"https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_01_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_02_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_03_1000x1503.jpg,https://paolagiacomelli.com.br/wp-content/uploads/2021/11/SaiaLala_04_1000x1503.jpg",2022-02-01T00:00+00:00/2022-03-12T23:59+00:00,293.99BRL,new,published,,,,,,,"cor:BEGE/AZUL:BEGE,tamanho:PP/P/M/G/GG:PP"
