Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Imagens;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
variable;10212;CALÇA KAUANY;-1;<ul><li>CALÇA SLIM COM FECHAMENTO FRONTAL COM ZÍPER DE NYLON E BOTÃO PEROLADO TINGIDO NA COR DO TECIDO</li><li>CALÇA FORRADA COM TRICOLINE</li><li>BOLSO FACA FRONTAL </li><li>BOLSO TRAZEIRO COM LAPELA</li><li>PUNHO NA BARRA COM BOTÃO</li><li>ABERTURA LATERAL NA BARRA</li></li></ul>;1;;;0;0;0,745;32;21;12;0;;CALÇA>CALÇA SLIM;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-Vermelho_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-Vermelho_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-AzulTurquesa_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaKauany-AzulTurquesa_02.jpg;;Cor;VERMELHO, AZUL TURQUESA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10215;CALÇA LAIS;-1;;1;;;0;0;0,495;32;21;12;0;;CALÇA>CALÇA JOGGER;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaLais-Dourado_04.jpg;;Cor;DOURADO;1;1;Tamanho;PP,P,M;1;1;;;;
variable;10194;CALÇA VANESSA NEW;-1;<ul><li>CALÇA SLIM COM CÓS CLOCHARD E COM ELÁSTICO</li><li>FECHAMENTO FRONTAL COM ZÍPER E GANCHO</li><li>BOLSO FRONTAL CHAPADO</li>-BOLSO TRASEIRO CHAPADO</li><li>ACOMPANHA FAIXA PARA AMARAÇÃO NO CÓS</li></ul>;1;;;0;0;0,517;32;21;12;0;;CALÇA>CALÇA SLIM;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Fucsia_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-Fucsia_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CalçaVanessaNew-AzulTurquesa_01.jpg;;Cor;OFF, PRETO, FUCSIA, AZUL TURQUESA;1;1;Tamanho;34,36,38,40,42,44;1;1;;;;
variable;10185;CAMISA ERIKA;-1;<ul>CAMISA MANGA LONGA</li><li>FECHAMENTO FRONTAL EM BOTÕES</li><li>BOLSO FRONTAL COM LAPELA</li></ul>;1;;;0;0;0,353;32;21;12;0;;BLUSA>BLUSA MANGA LONGA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Off_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaErika-Preto_02.jpg;;Cor;OFF, PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10184;CAMISA STEFANY  ;-1;<ul><li>CAMISA COM FECHAMENTO FRONTAL COM BOTÕES</li><li>DETALHE EM LATEX NOS OMBROS E NO PUNHO</li></ul>;1;;;0;0;0,353;32;21;12;0;;BLUSA>BLUSA MANGA LONGA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaStefany-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaStefany-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaStefany-Vermelho_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CamisaStefany-Vermelho_02.jpg;;Cor;PRETO, VERMELHO;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10213;CASAQUETO KAUANY;-1;<ul><li>CASAQUETO MANGA LONGA COM PUNHO, GOLA E LAPELAS FORRADOS COM TRICOLINE</li><li>FECHAMENTO FRONTAL  E DOS PUNHO COM BOTÕES TINGIDO NA COR DO TECIDO</li><li>BARRA COM FAIXA LONGA PARA AMARRAÇÃO</li><li>BOLSOS FRONTAL COM LAPELA</li></li></ul>;1;;;0;0;0,485;32;21;12;0;;BLUSA>BLUSA MANGA LONGA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CasaquetoKauany-Vermelho_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CasaquetoKauany-Vermelho_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CasaquetoKauany-Vermelho_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CasaquetoKauany-AzulTurquesa_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/CasaquetoKauany-AzulTurquesa_02.jpg;;Cor;VERMELHO, AZUL TURQUESA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10208;SAIA TALITA;-1;<ul><li>BLAZER CURTO FORRADO E ENTRETELADO</li><li>MANGA LONGA COM FECHAMENTO COM BOTÃO DE METAL DOURADO PARA COR PRETA E BOTÃO DE METAL DE STRASS PRATA PARA COR VERDE</li><li>FECHAMENTO FRONTAL COM  BOTÃO DE METAL DOURADO PARA COR PRETA E BOTÃO DE METAL DE STRASS PRATA PARA COR VERDE</li><li>BOLSO FRONTAL  COM LAPELA</li><li>FORRO EMBUTIDO DE CETIM</li></ul>;1;;;0;0;0,387;32;21;12;0;;SAIA>SAIA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/SaiaTalita-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/SaiaTalita-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/SaiaTalita-Preto_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/SaiaTalita-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/SaiaTalita-Verde_02.jpg;;Cor;PRETO, VERDE;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10190;TOP CLAUDIA ;-1;<ul><li>TOP BÁSICO DUPLO, ENTRETELA E EMBUTIDO</li><li>FECHAMENTO TRAZEIRO COM ZÍPER DESTACÁVEL DE NYLON</li><li>COM ALCINHA FINA COM REGULADOR DE METAL DOURADO</li></ul>;1;;;0;0;0,272;32;21;12;0;;BLUSA>TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopClaudia-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopClaudia-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopClaudia-Fucsia_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopClaudia-Fucsia_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopClaudia-AzulTurquesa_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopClaudia-AzulTurquesa_02.jpg;;Cor;PRETO, FUCSIA, AZUL TURQUESA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10187;TOP GABRIELA;-1;<ul><li>TOP DUPLO DE ALCINHA E EMBUTIDO</li><li>REGULADOR DE METAL NAS ALÇAS</li><li>FECHAMENTO TRAZEIRO COM 2 BOTÕES ENCAPADO</li></ul>;1;;;0;0;0,228;32;21;12;0;;BLUSA>TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Off_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Off_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Off_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Cinza_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopGabriela-Cinza_02.jpg;;Cor;PRETO, OFF, VERDE, CINZA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10191;TOP JADE;-1;<ul><li>TOP DUPLO, ENTRETELA E EMBUTIDO</li><li>COM MANGA BUFANTE REMOVÍVEL</li><li>FECHAMENTO TRAZEIRO COM ZÍPER DESTACÁVEL DE NYLON</li></ul>;1;;;0;0;0,360;32;21;12;0;;BLUSA>TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopJade-Cinza_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopJade-Cinza_02.jpg;;Cor;CINZA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10216;TOP LAIS;-1;;1;;;0;0;0,220;32;21;12;0;;BLUSA>TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopLais-Dourado_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopLais-Dourado_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopLais-Dourado_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopLais-Dourado_04.jpg;;Cor;DOURADO;1;1;Tamanho;PP,P,M;1;1;;;;
variable;10209;TOP TALITA;-1;<ul><li>TOP DUPLO, ENTRETELADO E EMBUTIDO</li><li>ALÇA LARGA</li><li>RECORTE NO CENTRO DO BUSTO</li><li>FECHAMENTO TRASEIRO COM ZÍPER DESTACÁVEL  DE NYLON</li></ul>;1;;;0;0;0,286;32;21;12;0;;BLUSA>TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopTalita-Preto_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopTalita-Preto_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopTalita-Verde_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopTalita-Verde_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/TopTalita-Verde_03.jpg;;Cor;PRETO, VERDE;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10210;VESTIDO KAUANY CURTO;-1;<ul><li>VESTIDO CURTO DE ALCINHA FINA E DELICADA</li><li>REGULADOR DE METAL DOURADO</li><li>BUSTO DUPLO E ENTRETELADO</li><li>NA SAIA POSSUI 3 CAMADAS DE BABADO FORRADOS EM TRICOLINE</li><li>DECOTE PROFUNDO</li><li>FECHAMENTO TRASEIRO COM ZÍPER INVISÍVEL</li><li>PEÇA TODA FORRADA E EMBUTIDA</li></li></ul>;1;;;0;0;0,145;32;21;12;0;;VESTIDO>VESTIDO CURTO;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyCurto-Vermelho_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyCurto-Vermelho_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyCurto-Vermelho_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyCurto-AzulTurquesa_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyCurto-AzulTurquesa_02.jpg;;Cor;VERMELHO, AZUL TURQUESA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
variable;10211;VESTIDO KAUANY MIDI;-1;;1;;;0;0;0,695;32;21;12;0;;VESTIDO>VESTIDO MIDI;https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyMidi-Vermelho_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyMidi-Vermelho_02.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyMidi-Vermelho_03.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyMidi-AzulTurquesa_01.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/03/VestidoKauanyMidi-AzulTurquesa_02.jpg;;Cor;VERMELHO, AZUL TURQUESA;1;1;Tamanho;PP,P,M,G,GG;1;1;;;;
