cod_produto,cod_mae,cod_barras,nome_produto,categoria,subcategoria,cores,tamanho,qtde_estoque,preco-errado,preco-certo,tags,descricao_produto,imagem_produto,medidas,busto,cintura
36126,2557019990,2000000000558,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,PINK,P,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam P Cor PINK,    ,P CINTURA 78 CM QUADRIL  99 CM,  ,   
36127,2557019990,2000000000565,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,PINK,M,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam M Cor PINK,    ,M CINTURA  82 CM QUADRIL 103 CM ,  ,   
36128,2557019990,2000000000572,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,ROSA CLARO,P,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam P Cor ROSA CLARO,    ,P CINTURA 78 CM QUADRIL  99 CM,  ,   
36129,2557019990,2000000000589,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,VERDE BANDEIRA,P,1,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam P Cor VERDE BANDEIRA,    ,P CINTURA 78 CM QUADRIL  99 CM,  ,   
36130,2557019990,2000000000596,SAIA CORDÃO CINTURA NUVEM S-002,SAIAS,,PRETA,M,2,25999,259.99,FASHION MODA TREND >> SAIAS >> COURO,2557019990 - SAIA CORDÃO CINTURA NUVEM S-002 - Tam M Cor PRETA,    ,M CINTURA  82 CM QUADRIL 103 CM ,  ,   
36131,2619013990,2000000000626,CALÇA NEO LISTRAS Z-0123,CALÇAS,,PRETA LISTRA,P,3,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam P Cor PRETA LISTRA,    ,P CINT. 74CM QUAD.94CM COXA 44CM COMP. 110CM,  ,   
36132,2619013990,2000000000633,CALÇA NEO LISTRAS Z-0123,CALÇAS,,PRETA LISTRA,M,1,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam M Cor PRETA LISTRA,    ,M CINT. 78CM QUAD.98CM COXA 48CM COMP. 111C,  ,   
36133,2619013990,2000000000640,CALÇA NEO LISTRAS Z-0123,CALÇAS,,VERMELHA LISTRA,M,1,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam M Cor VERMELHA LISTRA,    ,M CINT. 78CM QUAD.98CM COXA 48CM COMP. 111C,  ,   
36134,2619013990,2000000000657,CALÇA NEO LISTRAS Z-0123,CALÇAS,,VERMELHA LISTRA,P,3,27999,279.99,FASHION MODA TREND >> CALÇAS >> POLIÉSTER + ELASTANO,2619013990 - CALÇA NEO LISTRAS Z-0123 - Tam P Cor VERMELHA LISTRA,    ,P CINT. 74CM QUAD.94CM COXA 44CM COMP. 110CM,  ,   
36135,2612019990,2000000000176,VESTIDO LGO POMPONS X-0252,MACAQUINHO,,SALMAO LISTRA,P,2,23999,239.99,FASHION MODA TREND >> MACAQUINHO >> 100% VISCOSE ,2612019990 - VESTIDO LGO POMPONS X-0252 - Tam P Cor SALMAO LISTRA,    ,P BUSTO 85 CM COMPRIMENTO 65 CM ,  ,   
36136,2612019990,2000000000183,VESTIDO LGO POMPONS X-0252,MACAQUINHO,,SALMAO LISTRA,M,1,23999,239.99,FASHION MODA TREND >> MACAQUINHO >> 100% VISCOSE ,2612019990 - VESTIDO LGO POMPONS X-0252 - Tam M Cor SALMAO LISTRA,    ,M BUSTO 89 CM COMPRIMENTO 66 CM,  ,   
36137,2626011990,2000000000206,VESTIDO X-0251 LINHO LISTRAS,VESTIDOS,CURTO,AZUL LISTRA,P,1,23999,239.99,FASHION MODA TREND >> VESTIDOS >> CURTO >> LINHO + POLIESTER,2626011990 - VESTIDO X-0251 LINHO LISTRAS - Tam P Cor AZUL LISTRA,    ,P BUSTO 89 CM COMPRIMENTO 66 CM ,  ,   
36138,2563014990,2000000000404,CONJUNTO MENININHA V-0665 F-0174,CONJUNTOS,,PRETO,M,1,29999,299.99,FASHION MODA TREND >> CONJUNTOS >> LINHO + VISCOSE,2563014990 - CONJUNTO MENININHA V-0665 F-0174 - Tam M Cor PRETO,    ,M BUSTO 93 CM,  ,   
36139,2563014990,2000000000411,CONJUNTO MENININHA V-0665 F-0174,CONJUNTOS,,PRETO,P,1,29999,299.99,FASHION MODA TREND >> CONJUNTOS >> LINHO + VISCOSE,2563014990 - CONJUNTO MENININHA V-0665 F-0174 - Tam P Cor PRETO,    ,P BUSTO 89CM  ,  ,   
36140,2563014990,2000000000428,CONJUNTO MENININHA V-0665 F-0174,CONJUNTOS,,SALMAO,P,1,29999,299.99,FASHION MODA TREND >> CONJUNTOS >> LINHO + VISCOSE,2563014990 - CONJUNTO MENININHA V-0665 F-0174 - Tam P Cor SALMAO,    ,P BUSTO 89CM  ,  ,   
36141,2563014990,2000000000435,CONJUNTO MENININHA V-0665 F-0174,CONJUNTOS,,SALMAO,M,1,29999,299.99,FASHION MODA TREND >> CONJUNTOS >> LINHO + VISCOSE,2563014990 - CONJUNTO MENININHA V-0665 F-0174 - Tam M Cor SALMAO,    ,M BUSTO 93 CM,  ,   
36142,2671013990,2000000000497,BATA LINHO BORDADA,BLUSAS,CROPPED,AZUL JEANS,P,2,27999,279.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> LINHO + VISCOSE,2671013990 - BATA LINHO BORDADA - Tam P Cor AZUL JEANS,    ,P BUSTO 89CM  ,  ,   
36143,2671013990,2000000000503,BATA LINHO BORDADA,BLUSAS,CROPPED,AZUL JEANS,M,1,27999,279.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> LINHO + VISCOSE,2671013990 - BATA LINHO BORDADA - Tam M Cor AZUL JEANS,    ,M BUSTO 93 CM,  ,   
36144,2600017990,2000000000602,SAIA LINHO 2 BABADOS,SAIAS,,CRU,P,1,29999,299.99,FASHION MODA TREND >> SAIAS >> LINHO + VISCOSE,2600017990 - SAIA LINHO 2 BABADOS - Tam P Cor CRU,    ,P CINTURA 84 CM QUADRIL 119 CM,  ,   
36145,2600017990,2000000000619,SAIA LINHO 2 BABADOS,SAIAS,,CRU,M,1,29999,299.99,FASHION MODA TREND >> SAIAS >> LINHO + VISCOSE,2600017990 - SAIA LINHO 2 BABADOS - Tam M Cor CRU,    ,MCINTURA 88CM QUADRIL 123CM,  ,   
36146,2299011990,2000000000510,SAIA CIRRE BABADO,SAIAS,CURTA,MOSTARDA,P,2,17999,179.99,FASHION MODA TREND >> SAIAS >> CURTA >> POLIÉSTER + ELASTANO,2299011990 - SAIA CIRRE BABADO - Tam P Cor MOSTARDA,    ,P CINTURA 76 CM COMP. 30CM,  ,   
36147,2299011990,2000000000527,SAIA CIRRE BABADO,SAIAS,CURTA,MOSTARDA,M,1,17999,179.99,FASHION MODA TREND >> SAIAS >> CURTA >> POLIÉSTER + ELASTANO,2299011990 - SAIA CIRRE BABADO - Tam M Cor MOSTARDA,    ,M CINTURA  80CM COMP. 34CM ,  ,   
36148,2299011990,2000000000534,SAIA CIRRE BABADO,SAIAS,CURTA,AZUL,P,1,17999,179.99,FASHION MODA TREND >> SAIAS >> CURTA >> POLIÉSTER + ELASTANO,2299011990 - SAIA CIRRE BABADO - Tam P Cor AZUL,    ,P CINTURA 76 CM COMP. 30CM,  ,   
36149,2299011990,2000000000541,SAIA CIRRE BABADO,SAIAS,CURTA,AZUL,M,1,17999,179.99,FASHION MODA TREND >> SAIAS >> CURTA >> POLIÉSTER + ELASTANO,2299011990 - SAIA CIRRE BABADO - Tam M Cor AZUL,    ,M CINTURA  80CM COMP. 34CM ,  ,   
36150,2683005990,2000000000114,REAGATA CAVA A FIO V-0282,BLUSAS,REGATA,OFF WHITE,M,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> POLIÉSTER + ELASTANO,2683005990 - REAGATA CAVA A FIO V-0282 - Tam M Cor OFF WHITE,    ,M BUSTO 97 CM,  ,   
36151,2683005990,2000000000121,REAGATA CAVA A FIO V-0282,BLUSAS,REGATA,OFF WHITE,P,4,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> POLIÉSTER + ELASTANO,2683005990 - REAGATA CAVA A FIO V-0282 - Tam P Cor OFF WHITE,    ,P BUSTO 93 CM,  ,   
36152,1789006990,2000000000015,CAMISETA BÁSICA DIVERSAS ESTAMPAS,BLUSAS,T-SHIRT,OFF E AZUL,P,1,9999,99.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> ALGODÃO+ ELASTANO + POLIÉSTER,1789006990 - CAMISETA BÁSICA DIVERSAS ESTAMPAS - Tam P Cor OFF E AZUL,    ,P BUSTO 89CM  ,  ,   
36153,1789006990,2000000000022,CAMISETA BÁSICA DIVERSAS ESTAMPAS,BLUSAS,T-SHIRT,OFF E AZUL,M,1,9999,99.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> ALGODÃO+ ELASTANO + POLIÉSTER,1789006990 - CAMISETA BÁSICA DIVERSAS ESTAMPAS - Tam M Cor OFF E AZUL,    ,M BUSTO 93 CM,  ,   
36154,1789006990,2000000000039,CAMISETA BÁSICA DIVERSAS ESTAMPAS,BLUSAS,T-SHIRT,CINZA MESCLA,P,1,9999,99.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> ALGODÃO+ ELASTANO + POLIÉSTER,1789006990 - CAMISETA BÁSICA DIVERSAS ESTAMPAS - Tam P Cor CINZA MESCLA,    ,P BUSTO 89CM  ,  ,   
36155,1789006990,2000000000046,CAMISETA BÁSICA DIVERSAS ESTAMPAS,BLUSAS,T-SHIRT,CINZA MESCLA,M,1,9999,99.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> ALGODÃO+ ELASTANO + POLIÉSTER,1789006990 - CAMISETA BÁSICA DIVERSAS ESTAMPAS - Tam M Cor CINZA MESCLA,    ,M BUSTO 93 CM,  ,   
36156,1789006990,2000000000053,CAMISETA BÁSICA DIVERSAS ESTAMPAS,BLUSAS,T-SHIRT,OFF,M,0,9999,99.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> ALGODÃO+ ELASTANO + POLIÉSTER,1789006990 - CAMISETA BÁSICA DIVERSAS ESTAMPAS - Tam M Cor OFF,    ,M BUSTO 93 CM,  ,   
36157,1789006990,2000000000084,CAMISETA BÁSICA DIVERSAS ESTAMPAS,BLUSAS,T-SHIRT,OFF E VERMELHO,M,1,9999,99.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> ALGODÃO+ ELASTANO + POLIÉSTER,1789006990 - CAMISETA BÁSICA DIVERSAS ESTAMPAS - Tam M Cor OFF E VERMELHO,    ,M BUSTO 93 CM,  ,   
36158,1789006990,2000000000091,CAMISETA BÁSICA DIVERSAS ESTAMPAS,BLUSAS,T-SHIRT,OFF E VERMELHO,P,0,9999,99.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> ALGODÃO+ ELASTANO + POLIÉSTER,1789006990 - CAMISETA BÁSICA DIVERSAS ESTAMPAS - Tam P Cor OFF E VERMELHO,    ,P BUSTO 89CM  ,  ,   
36159,2684009990,2000000000664,VESTIDO NEO BOTÕES,VESTIDOS,CURTO,FLORAL,P,2,19999,199.99,FASHION MODA TREND >> VESTIDOS >> CURTO >> POLIAMIDA + ELASTANO,2684009990 - VESTIDO NEO BOTÕES - Tam P Cor FLORAL,    ,P BUSTO 89 CM QUADRIL 99 CM COMPRIMENTO 73 CM,  ,   
36160,2684009990,2000000000671,VESTIDO NEO BOTÕES,VESTIDOS,CURTO,FLORAL,M,1,19999,199.99,FASHION MODA TREND >> VESTIDOS >> CURTO >> POLIAMIDA + ELASTANO,2684009990 - VESTIDO NEO BOTÕES - Tam M Cor FLORAL,    ,M BUSTO 93 CM QUADRIL 103 CM COMPRIMENTO 74 CM ,  ,   
36161,2675005990,2000000000282,BLUSINHA ALÇA ILHOES,BLUSAS,REGATA,GOIABA,P,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,2675005990 - BLUSINHA ALÇA ILHOES - Tam P Cor GOIABA,    ,P BUSTO 82 CM,  ,   
36162,2675005990,2000000000299,BLUSINHA ALÇA ILHOES,BLUSAS,REGATA,GOIABA,M,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,2675005990 - BLUSINHA ALÇA ILHOES - Tam M Cor GOIABA,    ,M BUSTO 86 CM,  ,   
36163,2675005990,2000000000305,BLUSINHA ALÇA ILHOES,BLUSAS,REGATA,ROSE,M,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,2675005990 - BLUSINHA ALÇA ILHOES - Tam M Cor ROSE,    ,M BUSTO 86 CM,  ,   
36164,2675005990,2000000000312,BLUSINHA ALÇA ILHOES,BLUSAS,REGATA,ROSE,P,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,2675005990 - BLUSINHA ALÇA ILHOES - Tam P Cor ROSE,    ,P BUSTO 82 CM,  ,   
36165,2675005990,2000000000329,BLUSINHA ALÇA ILHOES,BLUSAS,REGATA,BRANCA,P,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,2675005990 - BLUSINHA ALÇA ILHOES - Tam P Cor BRANCA,    ,,  ,   
36166,2675005990,2000000000336,BLUSINHA ALÇA ILHOES,BLUSAS,REGATA,BRANCA,M,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,2675005990 - BLUSINHA ALÇA ILHOES - Tam M Cor BRANCA,    ,M BUSTO 86 CM,  ,   
36167,2618005990,2000000000343,CROPEED ARGOLAS LATERAIS V-0663,BLUSAS,ALÇAS,MOSTARDA,G,2,15999,159.99,FASHION MODA TREND >> BLUSAS >> ALÇAS >> 100% POLIESTER,2618005990 - CROPEED ARGOLAS LATERAIS V-0663 - Tam G Cor MOSTARDA,    ,G BUSTO 97 CM,  ,   
36168,2618005990,2000000000367,CROPEED ARGOLAS LATERAIS V-0663,BLUSAS,ALÇAS,ROSE,P,3,15999,159.99,FASHION MODA TREND >> BLUSAS >> ALÇAS >> 100% POLIESTER,2618005990 - CROPEED ARGOLAS LATERAIS V-0663 - Tam P Cor ROSE,    ,P BUSTO 89CM  ,  ,   
36169,2618005990,2000000000374,CROPEED ARGOLAS LATERAIS V-0663,BLUSAS,ALÇAS,ROSE,M,0,15999,159.99,FASHION MODA TREND >> BLUSAS >> ALÇAS >> 100% POLIESTER,2618005990 - CROPEED ARGOLAS LATERAIS V-0663 - Tam M Cor ROSE,    ,M BUSTO 93 CM,  ,   
36170,2618005990,2000000000381,CROPEED ARGOLAS LATERAIS V-0663,BLUSAS,ALÇAS,ROSE,G,2,15999,159.99,FASHION MODA TREND >> BLUSAS >> ALÇAS >> 100% POLIESTER,2618005990 - CROPEED ARGOLAS LATERAIS V-0663 - Tam G Cor ROSE,    ,G BUSTO 97 CM,  ,   
36171,2618005990,2000000000398,CROPEED ARGOLAS LATERAIS V-0663,BLUSAS,ALÇAS,MOSTARDA,P,1,15999,159.99,FASHION MODA TREND >> BLUSAS >> ALÇAS >> 100% POLIESTER,2618005990 - CROPEED ARGOLAS LATERAIS V-0663 - Tam P Cor MOSTARDA,    ,P BUSTO 89CM  ,  ,   
36172,2680006990,2000000000244,CROPPED LAÇO FRONTAL V-0682,BLUSAS,,AZUL BEBE,P,1,15999,159.99,FASHION MODA TREND >> BLUSAS >> LINHO + VISCOSE,2680006990 - CROPPED LAÇO FRONTAL V-0682 - Tam P Cor AZUL BEBE,    ,P BUSTO 89CM  ,  ,   
36173,2680006990,2000000000251,CROPPED LAÇO FRONTAL V-0682,BLUSAS,,AZUL BEBE,M,2,15999,159.99,FASHION MODA TREND >> BLUSAS >> LINHO + VISCOSE,2680006990 - CROPPED LAÇO FRONTAL V-0682 - Tam M Cor AZUL BEBE,    ,M BUSTO 93 CM,  ,   
36174,2680006990,2000000000268,CROPPED LAÇO FRONTAL V-0682,BLUSAS,,BRANCO,M,1,15999,159.99,FASHION MODA TREND >> BLUSAS >> LINHO + VISCOSE,2680006990 - CROPPED LAÇO FRONTAL V-0682 - Tam M Cor BRANCO,    ,M BUSTO 93 CM,  ,   
36175,2680006990,2000000000275,CROPPED LAÇO FRONTAL V-0682,BLUSAS,,BRANCO,P,1,15999,159.99,FASHION MODA TREND >> BLUSAS >> LINHO + VISCOSE,2680006990 - CROPPED LAÇO FRONTAL V-0682 - Tam P Cor BRANCO,    ,P BUSTO 89CM  ,  ,   
36176,2683011990,2000000000213,CALÇA LINHO PANTALONA,CALÇAS,PANTALONA,LARANJA LISTRAS,P,1,23999,239.99,FASHION MODA TREND >> CALÇAS >> PANTALONA >> LINHO + VISCOSE,2683011990 - CALÇA LINHO PANTALONA - Tam P Cor LARANJA LISTRAS,    ,P CINTURA 80CM QUADRIL 100CM COMP. 94CM,  ,   
36177,2683011990,2000000000220,CALÇA LINHO PANTALONA,CALÇAS,PANTALONA,LARANJA LISTRAS,M,1,23999,239.99,FASHION MODA TREND >> CALÇAS >> PANTALONA >> LINHO + VISCOSE,2683011990 - CALÇA LINHO PANTALONA - Tam M Cor LARANJA LISTRAS,    ,M CINTURA 84CM QUADRIL 104 CM COMP. 98CM,  ,   
36178,2669006990,2000000000442,CROPPED AMARRACAO NAS COSTAS V-0666,BLUSAS,CROPPED,FLORAL VERDE E BEGE,P,0,18999,189.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> 100% POLIESTER,2669006990 - CROPPED AMARRACAO NAS COSTAS V-0666 - Tam P Cor FLORAL VERDE E BEGE,    ,,  ,   
36179,2669006990,2000000000459,CROPPED AMARRACAO NAS COSTAS V-0666,BLUSAS,CROPPED,FLORAL VERDE E BEGE,M,2,18999,189.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> 100% POLIESTER,2669006990 - CROPPED AMARRACAO NAS COSTAS V-0666 - Tam M Cor FLORAL VERDE E BEGE,    ,M BUSTO 93 CM,  ,   
36180,2619014990,2000000000466,MACACÃO ALÇA ESTAMPAS,MACACÃO,MIDI,FLORAL VERDE E BEGE,P,0,29999,299.99,FASHION MODA TREND >> MACACÃO >> MIDI >> 100% VISCOSE ,2619014990 - MACACÃO ALÇA ESTAMPAS - Tam P Cor FLORAL VERDE E BEGE,    ,M BUSTO 88CM CINT. 70CM QUAD. 99CM COMP.CORPO 75CM,  ,   
36181,2619014990,2000000000473,MACACÃO ALÇA ESTAMPAS,MACACÃO,MIDI,FLORAL VERDE E BEGE,M,1,29999,299.99,FASHION MODA TREND >> MACACÃO >> MIDI >> 100% VISCOSE ,2619014990 - MACACÃO ALÇA ESTAMPAS - Tam M Cor FLORAL VERDE E BEGE,    ,M BUSTO 93CM CINT. 73CM QUAD. 105CM COMP. 121 CM,  ,   
36182,2615012990,2000000000688,SAIA LONGA CREPE B CHANFRADO,SAIAS,LONGA,ROSE,P,0,27999,279.99,FASHION MODA TREND >> SAIAS >> LONGA >> POLIÉSTER + ELASTANO,2615012990 - SAIA LONGA CREPE B CHANFRADO - Tam P Cor ROSE,    ,,  ,   
36183,2681009990,2000000000145,CALÇA MALHA BLS FACA Z-0120,CALÇAS,CALÇAS,ESTAMPA GATO,P,2,19999,199.99,FASHION MODA TREND >> CALÇAS >> CALÇAS >> POLIÉSTER + ELASTANO,2681009990 - CALÇA MALHA BLS FACA Z-0120 - Tam P Cor ESTAMPA GATO,    ,P CINTURA 78 CM QUADRIL  99 CM,  ,   
36184,2681009990,2000000000152,CALÇA MALHA BLS FACA Z-0120,CALÇAS,CALÇAS,ESTAMPA GATO,M,0,19999,199.99,FASHION MODA TREND >> CALÇAS >> CALÇAS >> POLIÉSTER + ELASTANO,2681009990 - CALÇA MALHA BLS FACA Z-0120 - Tam M Cor ESTAMPA GATO,    ,,  ,   
36185,8049681,2000000001326,ALCINHA LAÇO FRENTE FAIXA FRENTE,BLUSAS,REGATA,FENDI,P,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,8049681 - ALCINHA LAÇO FRENTE FAIXA FRENTE - Tam P Cor FENDI,    ,P BUSTO 89CM  ,  ,   
36186,8049681,2000000001357,ALCINHA LAÇO FRENTE FAIXA FRENTE,BLUSAS,REGATA,FENDI,G,1,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,8049681 - ALCINHA LAÇO FRENTE FAIXA FRENTE - Tam G Cor FENDI,    ,G BUSTO 97 CM,  ,   
36187,8049681,2000000001364,ALCINHA LAÇO FRENTE FAIXA FRENTE,BLUSAS,REGATA,FENDI,M,1,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,8049681 - ALCINHA LAÇO FRENTE FAIXA FRENTE - Tam M Cor FENDI,    ,M BUSTO 93 CM,  ,   
36188,8049681,2000000001371,ALCINHA LAÇO FRENTE FAIXA FRENTE,BLUSAS,REGATA,OFF,M,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,8049681 - ALCINHA LAÇO FRENTE FAIXA FRENTE - Tam M Cor OFF,    ,M BUSTO 93 CM,  ,   
36189,8049681,2000000001388,ALCINHA LAÇO FRENTE FAIXA FRENTE,BLUSAS,REGATA,OFF,P,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,8049681 - ALCINHA LAÇO FRENTE FAIXA FRENTE - Tam P Cor OFF,    ,P BUSTO 89CM  ,  ,   
36190,8049681,2000000001395,ALCINHA LAÇO FRENTE FAIXA FRENTE,BLUSAS,REGATA,OFF,G,1,13999,139.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,8049681 - ALCINHA LAÇO FRENTE FAIXA FRENTE - Tam G Cor OFF,    ,G BUSTO 97 CM,  ,   
36191,6058816,2000000001258,BLUSA SMANGAS METÁLICO GRADE,BLUSAS,REGATA,VERDE,P,2,15999,159.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,6058816 - BLUSA SMANGAS METÁLICO GRADE - Tam P Cor VERDE,    ,P BUSTO 89CM  ,  ,   
36192,6058816,2000000001265,BLUSA SMANGAS METÁLICO GRADE,BLUSAS,REGATA,VERDE,M,2,15999,159.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,6058816 - BLUSA SMANGAS METÁLICO GRADE - Tam M Cor VERDE,    ,M BUSTO 93 CM,  ,   
36193,6058816,2000000001272,BLUSA SMANGAS METÁLICO GRADE,BLUSAS,REGATA,VERDE,G,1,15999,159.99,FASHION MODA TREND >> BLUSAS >> REGATA >> 100% POLIESTER,6058816 - BLUSA SMANGAS METÁLICO GRADE - Tam G Cor VERDE,    ,G BUSTO 97 CM,  ,   
36194,60691426,2000000000886,TSHIRT ESTAMPADA J'ADIOR 8,BLUSAS,T-SHIRT,PRETA DOURADO,P,1,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> 100% ALGODÃO,60691426 - TSHIRT ESTAMPADA J'ADIOR 8 - Tam P Cor PRETA DOURADO,    ,P BUSTO 89CM  ,  ,   
36195,60691426,2000000000893,TSHIRT ESTAMPADA J'ADIOR 8,BLUSAS,T-SHIRT,PRETA DOURADO,M,1,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> 100% ALGODÃO,60691426 - TSHIRT ESTAMPADA J'ADIOR 8 - Tam M Cor PRETA DOURADO,    ,M BUSTO 93 CM,  ,   
36196,60691426,2000000000909,TSHIRT ESTAMPADA J'ADIOR 8,BLUSAS,T-SHIRT,PRETA DOURADO,G,1,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> 100% ALGODÃO,60691426 - TSHIRT ESTAMPADA J'ADIOR 8 - Tam G Cor PRETA DOURADO,    ,G BUSTO 97 CM,  ,   
36197,60691516,2000000000916,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,PINK,M,2,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam M Cor PINK,    ,M BUSTO 93 CM,  ,   
36198,60691516,2000000000923,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,PINK,P,2,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam P Cor PINK,    ,P BUSTO 89CM  ,  ,   
36199,60691516,2000000000930,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,PINK,G,2,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam G Cor PINK,    ,G BUSTO 97 CM,  ,   
36200,60691516,2000000000947,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,VERDE,G,1,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam G Cor VERDE,    ,G BUSTO 97 CM,  ,   
36201,60691516,2000000000954,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,VERDE,M,2,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam M Cor VERDE,    ,M BUSTO 93 CM,  ,   
36202,60691516,2000000000961,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,VERDE,P,2,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam P Cor VERDE,    ,P BUSTO 89CM  ,  ,   
36203,60691516,2000000001005,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,CINZA,P,2,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam P Cor CINZA,    ,P BUSTO 89CM  ,  ,   
36204,60691516,2000000001029,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,CINZA,G,1,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam G Cor CINZA,    ,G BUSTO 97 CM,  ,   
36205,60691516,2000000001036,TSHIRT ESTAMPADA NO5 - CHANEL,BLUSAS,T-SHIRT,CINZA,M,1,6999,69.99,FASHION MODA TREND >> BLUSAS >> T-SHIRT >> POLIÉSTER + ELASTANO,60691516 - TSHIRT ESTAMPADA NO5 - CHANEL - Tam M Cor CINZA,    ,M BUSTO 93 CM,  ,   
36206,41011472,2000000000701,CALÇA FLARE BABADOS,CALÇAS,FLARE,MARROM5,G,2,25999,259.99,FASHION MODA TREND >> CALÇAS >> FLARE >> POLIAMIDA + ELASTANO,41011472 - CALÇA FLARE BABADOS - Tam G Cor MARROM5,    ,G CINTURA 77CM QUAD 107CM COMPRIMENTO 117CM,  ,   
