cod_produto,cod_mae,cod_barras,nome_produto,categoria,subcategoria,cores,tamanho,qtde_estoque,preco-errado,preco-certo,tags,descricao_produto,imagem_produto,medidas,busto,cintura
36836,3101443-12,2000000008073,MVCL 57/1 CALÇA PANTACOURT,CALÇAS,PANTACOURT,ROSA,40,1,19999,199.99,FASHION MODA TREND >> CALÇAS >> PANTACOURT >> 100% VISCOSE ,3101443-12 - MVCL 57/1 CALÇA PANTACOURT - Tam 040 Cor ROSA,    ,40 CINTURA 73 CM QUADRIL 103 CM,  ,   
36837,3101443-12,2000000008080,MVCL 57/1 CALÇA PANTACOURT,CALÇAS,PANTACOURT,ROSA,42,1,19999,199.99,FASHION MODA TREND >> CALÇAS >> PANTACOURT >> 100% VISCOSE ,3101443-12 - MVCL 57/1 CALÇA PANTACOURT - Tam 042 Cor ROSA,    ,42 CINTURA 77 CM QUADRIL 107 CM ,  ,   
36838,71014455,2000000007465,MVCA 59 CAMISA SOBRETUDO,BLUSAS,CHEMISE,FENDI,P,1,23999,239.99,FASHION MODA TREND >> BLUSAS >> CHEMISE >> 100% POLIESTER,71014455 - MVCA 59 CAMISA SOBRETUDO - Tam P Cor FENDI,    ,P BUSTO 89 CM COMPRIMENTO 137 CM,  ,   
36839,71014455,2000000007472,MVCA 59 CAMISA SOBRETUDO,BLUSAS,CHEMISE,FENDI,G,1,23999,239.99,FASHION MODA TREND >> BLUSAS >> CHEMISE >> 100% POLIESTER,71014455 - MVCA 59 CAMISA SOBRETUDO - Tam G Cor FENDI,    ,G BUSTO 97 CM COMPRIMENTO 138 CM,  ,   
36840,81014460,2000000008158,MVBL 60 BLUSA COM TELA DECOTE,BLUSAS,,OFF,P,2,11999,119.99,FASHION MODA TREND >> BLUSAS >> LINHO + POLIESTER,81014460 - MVBL 60 BLUSA COM TELA DECOTE - Tam P Cor OFF,    ,P BUSTO 89CM  ,  ,   
36841,81014460,2000000008172,MVBL 60 BLUSA COM TELA DECOTE,BLUSAS,,OFF,G,1,11999,119.99,FASHION MODA TREND >> BLUSAS >> LINHO + POLIESTER,81014460 - MVBL 60 BLUSA COM TELA DECOTE - Tam G Cor OFF,    ,G BUSTO 97 CM,  ,   
36842,81014460,2000000008189,MVBL 60 BLUSA COM TELA DECOTE,BLUSAS,,PRETO,G,2,11999,119.99,FASHION MODA TREND >> BLUSAS >> LINHO + POLIESTER,81014460 - MVBL 60 BLUSA COM TELA DECOTE - Tam G Cor PRETO,    ,G BUSTO 97 CM,  ,   
36843,81014460,2000000008196,MVBL 60 BLUSA COM TELA DECOTE,BLUSAS,,PRETO,P,2,11999,119.99,FASHION MODA TREND >> BLUSAS >> LINHO + POLIESTER,81014460 - MVBL 60 BLUSA COM TELA DECOTE - Tam P Cor PRETO,    ,P BUSTO 89CM  ,  ,   
36844,81014460,2000000008202,MVBL 60 BLUSA COM TELA DECOTE,BLUSAS,,PRETO,XG,2,11999,119.99,FASHION MODA TREND >> BLUSAS >> LINHO + POLIESTER,81014460 - MVBL 60 BLUSA COM TELA DECOTE - Tam XG Cor PRETO,    ,XG BUSTO 102 CM,  ,   
36845,81014475,2000000007731,MVRE 61 REGATA LINHO,BLUSAS,CROPPED,OFF,P,3,9999,99.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> LINHO + VISCOSE,81014475 - MVRE 61 REGATA LINHO - Tam P Cor OFF,    ,P BUSTO 89CM  ,  ,   
36846,81014475,2000000007748,MVRE 61 REGATA LINHO,BLUSAS,CROPPED,OFF,M,2,9999,99.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> LINHO + VISCOSE,81014475 - MVRE 61 REGATA LINHO - Tam M Cor OFF,    ,M BUSTO 93 CM,  ,   
36847,81014550,2000000007755,MVBL 66 CROPPED UM OMBRO SO BABADO,BLUSAS,REGATA,OFF,G,1,13999,139.99,ALL WHITE FASHION MODA TREND  >> BLUSAS >> REGATA >> ALGODÃO + ELASTANO,81014550 - MVBL 66 CROPPED UM OMBRO SO BABADO - Tam G Cor OFF,    ,G BUSTO 93 CM,  ,   
36848,81014550,2000000007762,MVBL 66 CROPPED UM OMBRO SO BABADO,BLUSAS,REGATA,VERDE,G,1,13999,139.99,ALL WHITE FASHION MODA TREND  >> BLUSAS >> REGATA >> ALGODÃO + ELASTANO,81014550 - MVBL 66 CROPPED UM OMBRO SO BABADO - Tam G Cor VERDE,    ,G BUSTO 93 CM,  ,   
36849,81014550,2000000007779,MVBL 66 CROPPED UM OMBRO SO BABADO,BLUSAS,REGATA,PRETA,P,3,13999,139.99,ALL WHITE FASHION MODA TREND  >> BLUSAS >> REGATA >> ALGODÃO + ELASTANO,81014550 - MVBL 66 CROPPED UM OMBRO SO BABADO - Tam P Cor PRETA,    ,P BUSTO 85 CM,  ,   
36850,81014550,2000000007786,MVBL 66 CROPPED UM OMBRO SO BABADO,BLUSAS,REGATA,PRETA,G,3,13999,139.99,ALL WHITE FASHION MODA TREND  >> BLUSAS >> REGATA >> ALGODÃO + ELASTANO,81014550 - MVBL 66 CROPPED UM OMBRO SO BABADO - Tam G Cor PRETA,    ,G BUSTO 93 CM,  ,   
36851,91014585,2000000008226,MVMA 58 MACACÃO VISCOCREPE AMARRACAO CINTURA,MACACÃO,MIDI,PRETO,P,2,23999,239.99,FASHION MODA TREND >> MACACÃO >> MIDI >> ALGODÃO + ELASTANO,91014585 - MVMA 58 MACACÃO VISCOCREPE AMARRACAO CINTURA - Tam P Cor PRETO,    ,P BUSTO 85CM COMPRIMENTO 110 CM,  ,   
36852,81014820,2000000008240,MVMA 93 MACAQUINHO ESTAMPADO,MACACÃO,,AZUL E LARANJA,P,2,19999,199.99,,81014820 - MVMA 93 MACAQUINHO ESTAMPADO - Tam P Cor AZUL E LARANJA,    ,,  ,   
36853,81014820,2000000008257,MVMA 93 MACAQUINHO ESTAMPADO,MACACÃO,,VERDE E ROSA,P,2,19999,199.99,,81014820 - MVMA 93 MACAQUINHO ESTAMPADO - Tam P Cor VERDE E ROSA,    ,,  ,   
36854,81014820,2000000008264,MVMA 93 MACAQUINHO ESTAMPADO,MACACÃO,,VERDE E ROSA,M,2,19999,199.99,,81014820 - MVMA 93 MACAQUINHO ESTAMPADO - Tam M Cor VERDE E ROSA,    ,,  ,   
36855,11014891,2000000007403,MVVE 100 VESTIDO TELA,VESTIDOS,MIDI,PRETO,P,2,21999,219.99,FASHION MODA TREND >> VESTIDOS >> MIDI >> POLIÉSTER + ELASTANO,11014891 - MVVE 100 VESTIDO TELA - Tam P Cor PRETO,    ,P BUSTO 85 CM QUAD. 95 CM COMP. 144CM,  ,   
36856,11014891,2000000007410,MVVE 100 VESTIDO TELA,VESTIDOS,MIDI,PRETO,M,3,21999,219.99,FASHION MODA TREND >> VESTIDOS >> MIDI >> POLIÉSTER + ELASTANO,11014891 - MVVE 100 VESTIDO TELA - Tam M Cor PRETO,    ,M BUSTO 90 CM QUAD. 99CM COMP. 144CM,  ,   
36857,11014891,2000000007427,MVVE 100 VESTIDO TELA,VESTIDOS,MIDI,PRETO,G,2,21999,219.99,FASHION MODA TREND >> VESTIDOS >> MIDI >> POLIÉSTER + ELASTANO,11014891 - MVVE 100 VESTIDO TELA - Tam G Cor PRETO,    ,G BUSTO 94 CM QUAD. 103 CM COMP. 145 CM,  ,   
36858,11014891,2000000007434,MVVE 100 VESTIDO TELA,VESTIDOS,MIDI,OFF,G,1,21999,219.99,FASHION MODA TREND >> VESTIDOS >> MIDI >> POLIÉSTER + ELASTANO,11014891 - MVVE 100 VESTIDO TELA - Tam G Cor OFF,    ,G BUSTO 94 CM QUAD. 103 CM COMP. 145 CM,  ,   
36859,11014891,2000000007441,MVVE 100 VESTIDO TELA,VESTIDOS,MIDI,OFF,M,1,21999,219.99,FASHION MODA TREND >> VESTIDOS >> MIDI >> POLIÉSTER + ELASTANO,11014891 - MVVE 100 VESTIDO TELA - Tam M Cor OFF,    ,M BUSTO 90 CM QUAD. 99CM COMP. 144CM,  ,   
36860,81014925,2000000008479,MVVE 103 VESTIDO CANELADO COM BOTÕES,VESTIDOS,CURTO,AZUL E VERDE,P,1,13999,139.99,FASHION MODA TREND >> VESTIDOS >> CURTO >> ALGODÃO + ELASTANO,81014925 - MVVE 103 VESTIDO CANELADO COM BOTÕES - Tam P Cor AZUL E VERDE,    ,P BUSTO 64 CM CINTURA 64 CM COMPRIMENTO 79 CM,  ,   
36861,81014925,2000000008486,MVVE 103 VESTIDO CANELADO COM BOTÕES,VESTIDOS,CURTO,AZUL E VERDE,G,1,13999,139.99,FASHION MODA TREND >> VESTIDOS >> CURTO >> ALGODÃO + ELASTANO,81014925 - MVVE 103 VESTIDO CANELADO COM BOTÕES - Tam G Cor AZUL E VERDE,    ,G BUSTO 70CM CINTURA 70 CM COMPRIMENTO 81CM,  ,   
36862,91014930,2000000008288,MVBL 104,BLUSAS,,VERDE,P,2,39999,399.99,FASHION MODA TREND >> BLUSAS >> 100% POLIESTER,91014930 - MVBL 104 - Tam P Cor VERDE,    ,P BUSTO 89CM  ,  ,   
36863,91014930,2000000008301,MVBL 104,BLUSAS,,VERDE,M,2,39999,399.99,FASHION MODA TREND >> BLUSAS >> 100% POLIESTER,91014930 - MVBL 104 - Tam M Cor VERDE,    ,M BUSTO 93 CM,  ,   
36864,41015025,2000000008530,MVBL 110 MOLETOM CROPPED BICOLOR,BLUSAS,CROPPED,CINZA E ROSA,P,1,12999,129.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + POLIÉSTER,41015025 - MVBL 110 MOLETOM CROPPED BICOLOR - Tam P Cor CINZA E ROSA,    ,P BUSTO 89CM  ,  ,   
36865,81015090,2000000007618,MVTO 117 TOP CIGANINHA BABADOS,BLUSAS,CROPPED,BRANCO E PRETO,P,2,11999,119.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> 100% VISCOSE ,81015090 - MVTO 117 TOP CIGANINHA BABADOS - Tam P Cor BRANCO E PRETO,    ,P BUSTO 85 CM,  ,   
36866,41015100,2000000007854,MVBO 118 BODY DE TELA,BLUSAS,BODY,PRETO,P,2,11999,119.99,FASHION MODA TREND >> BLUSAS >> BODY >> ALGODÃO + ELASTANO,41015100 - MVBO 118 BODY DE TELA - Tam P Cor PRETO,    ,P 60 CM COMPRIMENTO 66 CM,  ,   
36867,41015100,2000000007861,MVBO 118 BODY DE TELA,BLUSAS,BODY,PRETO,G,2,11999,119.99,FASHION MODA TREND >> BLUSAS >> BODY >> ALGODÃO + ELASTANO,41015100 - MVBO 118 BODY DE TELA - Tam G Cor PRETO,    ,G 68 CM COMPRIMENTO 68 CM,  ,   
36868,61015140,2000000007830,MVVE 122 VESTIDO COM MANGA AMPLA,VESTIDOS,CURTO,VERDE,M,1,23999,239.99,FASHION MODA TREND >> VESTIDOS >> CURTO >> 100% POLIESTER,61015140 - MVVE 122 VESTIDO COM MANGA AMPLA - Tam M Cor VERDE,    ,M BUSTO 93 CM COMPRIMENTO 79 CM,  ,   
36869,61015140,2000000007847,MVVE 122 VESTIDO COM MANGA AMPLA,VESTIDOS,CURTO,VERDE,G,0,23999,239.99,FASHION MODA TREND >> VESTIDOS >> CURTO >> 100% POLIESTER,61015140 - MVVE 122 VESTIDO COM MANGA AMPLA - Tam G Cor VERDE,    ,G BUSTO  97 CM COMPRIMENTO 80 CM,  ,   
36870,71015250,2000000007588,MVCL 132 CALÇA PANTACOURT LISTRADA COM BOLSO,CALÇAS,PANTACOURT,BRANCO E AZUL,36,2,21999,219.99,FASHION MODA TREND >> CALÇAS >> PANTACOURT >> 100% VISCOSE ,71015250 - MVCL 132 CALÇA PANTACOURT LISTRADA COM BOLSO - Tam 036 Cor BRANCO E AZUL,    ,36 CINTURA 66 CM COMPRIMENTO 71 CM,  ,   
36871,91015380,2000000007793,MVBO 145 BODY DECOTE TRANSPASSADO EM V,BLUSAS,BODY,,P,4,13999,139.99,FASHION MODA TREND >> BLUSAS >> BODY >> POLIÉSTER + ELASTANO,91015380 - MVBO 145 BODY DECOTE TRANSPASSADO EM V - Tam P Cor ,    ,P BUSTO 71CM COMP 162CM,  ,   
36872,91015380,2000000007809,MVBO 145 BODY DECOTE TRANSPASSADO EM V,BLUSAS,BODY,,M,1,13999,139.99,FASHION MODA TREND >> BLUSAS >> BODY >> POLIÉSTER + ELASTANO,91015380 - MVBO 145 BODY DECOTE TRANSPASSADO EM V - Tam M Cor ,    ,M BUSTO 75CM COMP 163CM,  ,   
36873,91015380,2000000007816,MVBO 145 BODY DECOTE TRANSPASSADO EM V,BLUSAS,BODY,VERDE AGUA,P,3,13999,139.99,FASHION MODA TREND >> BLUSAS >> BODY >> POLIÉSTER + ELASTANO,91015380 - MVBO 145 BODY DECOTE TRANSPASSADO EM V - Tam P Cor VERDE AGUA,    ,P BUSTO 71CM COMP 162CM,  ,   
36874,11015490,2000000007564,MVCA 156 CAMISA LONGA COM LATERAIS ABERTAS,BLUSAS,CHEMISE,AZUL E BRANCO,M,0,19999,199.99,FASHION MODA TREND >> BLUSAS >> CHEMISE >> 100% VISCOSE ,11015490 - MVCA 156 CAMISA LONGA COM LATERAIS ABERTAS - Tam M Cor AZUL E BRANCO,    ,M BUSTO 89 CM COMPRIMENTO 111CM ,  ,   
36875,11015490,2000000007571,MVCA 156 CAMISA LONGA COM LATERAIS ABERTAS,BLUSAS,CHEMISE,AZUL E BRANCO,G,1,19999,199.99,FASHION MODA TREND >> BLUSAS >> CHEMISE >> 100% VISCOSE ,11015490 - MVCA 156 CAMISA LONGA COM LATERAIS ABERTAS - Tam G Cor AZUL E BRANCO,    ,G BUSTO  93 CM COMPRIMENTO 112 CM ,  ,   
36876,71015520,2000000007397,MVVE 159 VESTIDO LONGO MANGA BUFANTE,VESTIDOS,LONGO(A),AZUL FLORIDO2,P,2,29999,299.99,FASHION MODA TREND >> VESTIDOS >> LONGO(A) >> ,71015520 - MVVE 159 VESTIDO LONGO MANGA BUFANTE - Tam P Cor AZUL FLORIDO2,    ,P BUSTO 92CM CINTURA 68 CM COMPRIMENTO 146CM ,  ,   
36877,71015535,2000000007632,MVTO 160 TOP OMBRO A OMBRO,BLUSAS,CROPPED,VERDE,P,3,13999,139.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,71015535 - MVTO 160 TOP OMBRO A OMBRO - Tam P Cor VERDE,    ,P BUSTO 85 CM,  ,   
36878,71015535,2000000007656,MVTO 160 TOP OMBRO A OMBRO,BLUSAS,CROPPED,VERDE,G,1,13999,139.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,71015535 - MVTO 160 TOP OMBRO A OMBRO - Tam G Cor VERDE,    ,G BUSTO 93 CM,  ,   
36879,71015535,2000000007663,MVTO 160 TOP OMBRO A OMBRO,BLUSAS,CROPPED,MARRON,G,1,13999,139.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,71015535 - MVTO 160 TOP OMBRO A OMBRO - Tam G Cor MARRON,    ,G BUSTO 93 CM,  ,   
36880,71015535,2000000007687,MVTO 160 TOP OMBRO A OMBRO,BLUSAS,CROPPED,MARRON,P,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,71015535 - MVTO 160 TOP OMBRO A OMBRO - Tam P Cor MARRON,    ,P BUSTO 85 CM,  ,   
36881,71015535,2000000007694,MVTO 160 TOP OMBRO A OMBRO,BLUSAS,CROPPED,OFF,P,4,13999,139.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,71015535 - MVTO 160 TOP OMBRO A OMBRO - Tam P Cor OFF,    ,P BUSTO 85 CM,  ,   
36882,71015535,2000000007717,MVTO 160 TOP OMBRO A OMBRO,BLUSAS,CROPPED,OFF,G,2,13999,139.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,71015535 - MVTO 160 TOP OMBRO A OMBRO - Tam G Cor OFF,    ,G BUSTO 93 CM,  ,   
36883,11015580,2000000008127,MVBL 165 TOP CANELADO OMBRO A OMBRO,BLUSAS,CROPPED,COLORIDO,P,2,9999,99.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,11015580 - MVBL 165 TOP CANELADO OMBRO A OMBRO - Tam P Cor COLORIDO,    ,P BUSTO 85 CM,  ,   
36884,11015580,2000000008134,MVBL 165 TOP CANELADO OMBRO A OMBRO,BLUSAS,CROPPED,COLORIDO,G,2,9999,99.99,FASHION MODA TREND >> BLUSAS >> CROPPED >> ALGODÃO + ELASTANO,11015580 - MVBL 165 TOP CANELADO OMBRO A OMBRO - Tam G Cor COLORIDO,    ,G BUSTO 93 CM,  ,   
36885,11015691,2000000008547,MVSH 175 SHORT MOLETOM BICOLOR,SHORTS,SHORTS,CINZA E ROSA,38,1,11999,119.99,FASHION MODA TREND >> SHORTS >> SHORTS >> ALGODÃO + POLIÉSTER,11015691 - MVSH 175 SHORT MOLETOM BICOLOR - Tam 038 Cor CINZA E ROSA,    ,38 CINTURA 69 CM QUADRIL 99 CM ,  ,   
36886,81015720,2000000007526,MVVE 178 VESTIDO ESTAMPADO AMARRACAO COSTAS,VESTIDOS,MIDI,VERDE FLORIDO,P,2,23999,239.99,FASHION MODA TREND >> VESTIDOS >> MIDI >> 100% VISCOSE ,81015720 - MVVE 178 VESTIDO ESTAMPADO AMARRACAO COSTAS - Tam P Cor VERDE FLORIDO,    ,P BUSTO 86 CM CINTURA 64 CM COMP. 68CM,  ,   
